score	div.	del.	ins.	sequence	begin	end	(left)	repeat	class/family	begin	end	(left)	ID			
	18491	9.4	0.8	1.9	NP_60	361524	364559	-271426	C	BATUMI_I	LTR/Pao	-3013	5100	2010	259	3035
	13013	8.4	0.6	2.2	NP_60	459096	462015	-173970	+	Gypsy-10_DSim-I	LTR/Gypsy	464	5188	0	313	2919
	24209	3.5	0.1	0.6	NP_60	462047	464966	-171019	+	Gypsy-10_DSim-I	LTR/Gypsy	1	4382	-5970	313	2919
	23374	3.2	1.1	0.1	NP_60	346263	348993	-286992	+	Gypsy-1_DSe-I	LTR/Gypsy	82	2840	-3588	252	2730
	16824	2.8	1.7	0.2	NP_60	121918	124621	-511364	C	DMCR1A	Non-LTR_retrotransposon/CR1	-345	4125	1050	113	2703
	13417	20.4	2	0.8	NP_60	328818	331519	-304466	+	Gypsy5_I	LTR/Gypsy	909	3644	-2865	238	2701
	13344	20.3	2.5	0.8	NP_60	205143	207832	-428153	+	Gypsy5_I	LTR/Gypsy	909	3643	-2866	163	2689
	23280	1	0.5	0	NP_60	55853	58526	-577459	C	Gypsy-8_DSe-I	LTR/Gypsy	0	6481	3796	71	2673
	17333	13.9	0.6	0.1	NP_60	486223	488838	-147147	+	Gypsy-1_DSe-I	LTR/Gypsy	255	2882	-3546	322	2615
	10628	7	8.2	1.8	NP_60	172536	175047	-460938	+	IVK_DM	Non-LTR_retrotransposon/I	1142	3814	-1588	142	2511
	21169	2.6	1.2	0	NP_60	323321	325819	-310166	+	DM297_I	LTR/Gypsy	2847	5374	-793	236	2498
	10219	7.5	7.9	1	NP_60	130127	132573	-503412	+	IVK_DM	Non-LTR_retrotransposon/I	1199	3814	-1588	120	2446
	16713	5.9	1.4	0.9	NP_60	165289	167688	-468297	C	DMCR1A	Non-LTR_retrotransposon/CR1	-345	4125	268	137	2399
	17483	6.3	1.3	2.7	NP_60	537849	540218	-95767	+	Gypsy12_LTR	LTR/Gypsy	1	2336	0	350	2369
	13702	8	1.9	3.2	NP_60	104543	106911	-529074	+	STALKER4_I	LTR/Gypsy	285	2733	-3797	100	2368
	19708	2.6	1.3	0	NP_60	572444	574779	-61206	C	R1_DSi	Non-LTR_retrotransposon/R1	-626	4808	1041	373	2335
	13398	3.7	12.9	0.2	NP_60	141459	143695	-492290	+	QUASIMODO2-I_DM	LTR/Gypsy	1240	3719	-2894	123	2236
	18611	1.9	0.2	1	NP_60	478880	481080	-154905	C	STALKER4_I	LTR/Gypsy	0	6530	4346	319	2200
	18572	2.1	0.5	0.8	NP_60	407551	409749	-226236	+	Gypsy-3_DSe-I	LTR/Gypsy	4312	6504	-26	286	2198
	18703	2.9	0.2	0.2	NP_60	499123	501302	-134683	+	BEL-6_DYa-I	LTR/Pao	1	2157	-3318	325	2179
	17802	3.6	2.2	1.1	NP_60	349234	351410	-284575	+	Gypsy-1_DSe-I	LTR/Gypsy	4156	6357	-71	252	2176
	17799	3.1	0.7	0.3	NP_60	325820	327980	-308005	C	Gypsy-1_DSim-I	LTR/Gypsy	-3997	2170	1	234	2160
	17609	2.9	0.7	0.1	NP_60	543530	545595	-90390	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3351	356	2065
	18420	0.9	0.3	0.2	NP_60	96055	98086	-537899	C	Chimpo_I	LTR/Gypsy	-2025	2034	1	94	2031
	18517	0.8	0.3	0	NP_60	81744	83771	-552214	C	Chimpo_I	LTR/Gypsy	-2025	2034	1	84	2027
	16992	2.8	0.5	0.1	NP_60	507864	509847	-126138	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3438	332	1983
	17019	2.8	0.5	0.1	NP_60	504172	506154	-129831	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3438	329	1982
	17030	2.7	0.5	0.1	NP_60	511543	513525	-122460	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3438	335	1982
	16410	1.7	0.4	1.3	NP_60	107974	109914	-526071	+	STALKER4_I	LTR/Gypsy	4286	6396	-134	101	1940
	16240	2.6	2.9	0.1	NP_60	527891	529826	-106159	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3438	348	1935
	16246	3.4	0.7	0.1	NP_60	551019	552946	-83039	C	R1_DSi	Non-LTR_retrotransposon/R1	-57	5377	3438	361	1927
	15939	4.2	0.2	0	NP_60	197300	199140	-436845	C	NOMAD_I	LTR/Gypsy	-1685	4887	3044	160	1840
	16005	0.9	0.4	0.1	NP_60	58538	60368	-575617	C	Gypsy-8_DSe-I	LTR/Gypsy	-3058	3423	1587	71	1830
	11077	8.4	3.3	2	NP_60	405763	407550	-228435	+	Gypsy-3_DSe-I	LTR/Gypsy	285	2164	-4366	286	1787
	14211	1.3	0.1	1.5	NP_60	464953	466561	-169424	+	Gypsy-10_DSim-I	LTR/Gypsy	2728	4313	-875	313	1608
	13295	2.6	1.5	0.1	NP_60	569190	570749	-65236	C	R1_DSi	Non-LTR_retrotransposon/R1	-501	4933	3351	371	1559
	13839	0.8	0	0	NP_60	80222	81744	-554241	C	Chimpo_I	LTR/Gypsy	0	4059	2537	84	1522
	13839	0.8	0	0	NP_60	94533	96055	-539930	C	Chimpo_I	LTR/Gypsy	0	4059	2537	94	1522
	12963	2.6	0.1	0.3	NP_60	570940	572445	-63540	C	R1_DSi	Non-LTR_retrotransposon/R1	-501	4933	3431	372	1505
	12820	2.9	0.1	0.1	NP_60	564529	566024	-69961	C	R1_DSi	Non-LTR_retrotransposon/R1	-501	4933	3438	367	1495
	12401	3.5	0.8	0.1	NP_60	515222	516690	-119295	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3951	338	1468
	12576	2.6	0.6	0.1	NP_60	516769	518236	-117749	C	R1_DSi	Non-LTR_retrotransposon/R1	-521	4913	3438	339	1467
	12395	3.5	0.9	0.1	NP_60	547967	549433	-86552	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3951	359	1466
	12414	3.3	0.9	0.1	NP_60	562039	563505	-72480	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3951	365	1466
	12440	3.3	0.9	0.1	NP_60	567703	569169	-66816	C	R1_DSi	Non-LTR_retrotransposon/R1	-5	5429	3951	370	1466
	12455	2.8	0.1	0.1	NP_60	549454	550901	-85084	C	R1_DSi	Non-LTR_retrotransposon/R1	-501	4933	3486	360	1447
	13345	0.9	0	0	NP_60	621375	622821	-13164	C	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	-2053	2967	1521	396	1446
	11879	3.3	2.4	0.1	NP_60	585833	587270	-48715	+	Gypsy-8_DSim-I	LTR/Gypsy	3	1472	-3940	378	1437
	11433	1.4	0	0	NP_60	467704	468961	-167024	+	Gypsy-10_DSim-I	LTR/Gypsy	3056	4313	-875	314	1257
	11220	0.3	0.4	0	NP_60	356501	357748	-278237	+	Stalker2_I	LTR/Gypsy	1568	2820	-4576	258	1247
	11036	1.3	0.1	0.9	NP_60	226314	227560	-408425	C	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	0	5020	2560	177	1246
	10964	1.9	0.2	0.6	NP_60	389697	390939	-245046	C	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	0	5020	3002	275	1242
	10332	4.1	1.4	0.6	NP_60	427053	428287	-207698	C	DIVER_I	LTR/Pao	-4398	1245	1	293	1234
	10882	1.8	0.4	0.3	NP_60	403611	404834	-231151	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	3002	5007	-13	281	1223
	10393	1.7	0	1	NP_60	474076	475283	-160702	+	ACCORD2_I	LTR/Gypsy	1680	2875	-4337	318	1207
	17748	19.8	1.6	2.1	NP_60	27777	34216	-601769	+	Gypsy10_I	LTR/Gypsy	1	6736	-218	38	6439
	37059	0.6	0.1	0	NP_60	22547	26599	-609386	C	Chimpo_I	LTR/Gypsy	0	4059	1	37	4052
	9666	12.2	2.5	1.5	NP_60	312968	316537	-319448	+	Gypsy-1_DSim-I	LTR/Gypsy	65	3761	-2396	229	3569
	821	7.7	0	0.1	NP_60	364567	367289	-268696	C	15mer_SAT	Satellite/Satellite	-5	2720	1	260	2722
	6679	16.1	3.2	3.4	NP_60	194939	197300	-438685	C	NOMAD_I	LTR/Gypsy	-11	7528	4991	160	2361
	8867	17.8	1.5	0.8	NP_60	376458	378614	-257371	+	Gypsy_I	LTR/Gypsy	4064	6490	-17	265	2156
	7239	23.7	3.7	2.1	NP_60	52541	54493	-581492	C	BEL-22_DTa-I	LTR/Pao	0	8113	6131	70	1952
	4382	29.8	3.4	2.2	NP_60	115038	116968	-519017	C	Copia-7_DAn-I	LTR/Copia	-2098	2069	117	106	1930
	3782	30.6	4	3.5	NP_60	252837	254760	-381225	+	Gypsy5_I	LTR/Gypsy	2153	4085	-2424	191	1923
	3952	30.6	4.1	2.9	NP_60	297718	299635	-336350	+	Gypsy5_I	LTR/Gypsy	2145	4085	-2424	214	1917
	9430	3.9	21	0.2	NP_60	147878	149790	-486195	+	QUASIMODO2-I_DM	LTR/Gypsy	3715	6027	-586	123	1912
	6625	13.5	10.2	1.1	NP_60	36657	38425	-597560	C	Gypsy-1_DSim-I	LTR/Gypsy	-287	6735	4808	47	1768
	6631	13.2	10.2	1.1	NP_60	19915	21682	-614303	C	Gypsy-1_DSim-I	LTR/Gypsy	-287	6735	4808	34	1767
	9759	4.1	0.6	2.6	NP_60	524738	526431	-109554	+	DM412	LTR/Gypsy	5089	6477	0	345	1693
	3689	31.7	1.4	2.2	NP_60	230699	232341	-403644	+	Gypsy5_I	LTR/Gypsy	2110	4967	-1514	179	1642
	2744	18.8	1.8	8.6	NP_60	506141	507775	-128210	+	Gypsy8_I	LTR/Gypsy	2865	5231	-213	330	1634
	2709	19.2	2.4	7.7	NP_60	513512	515133	-120852	+	Gypsy8_I	LTR/Gypsy	2865	5231	-213	336	1621
	2744	18.9	1.9	7.8	NP_60	509834	511454	-124531	+	Gypsy8_I	LTR/Gypsy	2865	5231	-213	333	1620
	775	6.3	0.1	0.2	NP_60	191172	192731	-443254	C	15mer_SAT	Satellite/Satellite	-50	1558	1	156	1559
	2287	21.3	6.6	5.6	NP_60	477043	478452	-157533	+	Gypsy-13_DSim-I	LTR/Gypsy	3407	4050	-297	312	1409
	7513	5.7	12.6	2.7	NP_60	192726	194134	-441851	C	BATUMI_I	LTR/Pao	-5665	2298	749	157	1408
	7347	6.8	11.6	0.3	NP_60	612478	613864	-22121	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-16	2825	1283	393	1386
	6595	19	0.8	0.5	NP_60	241638	243017	-392968	C	DM412	LTR/Gypsy	-247	7149	5030	186	1379
	6596	10.5	2.4	2.6	NP_60	286467	287846	-348139	C	DM412	LTR/Gypsy	-233	6244	5030	210	1379
	2276	20.8	5.1	6.7	NP_60	526432	527802	-108183	+	Gypsy8_I	LTR/Gypsy	3029	5231	-213	346	1370
	7374	6.6	12.9	0.3	NP_60	605905	607274	-28711	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-16	2825	1283	390	1369
	2791	29.4	1.7	1.5	NP_60	307012	308311	-327674	+	Gypsy-26_DBp-I	LTR/Gypsy	770	2335	-1454	220	1299
	9796	7.4	1.4	0	NP_60	49169	50444	-585541	C	R1_DSi	Non-LTR_retrotransposon/R1	-3157	2277	984	67	1275
	9101	6.5	2.5	0.9	NP_60	518912	520166	-115819	+	DM412	LTR/Gypsy	1	1276	-5201	342	1254
	5439	18.3	12.3	0.8	NP_60	438768	440016	-195969	+	Gypsy-34_DEl-I	LTR/Gypsy	1	1322	-3081	305	1248
	6981	11.9	4	2.2	NP_60	575122	576362	-59623	+	DM412	LTR/Gypsy	1	1263	-5214	375	1240
	3363	31	0.7	0.7	NP_60	275164	276400	-359585	+	Gypsy-8_DSe-I	LTR/Gypsy	3364	4601	-1880	203	1236
	9969	2.2	2.8	1.3	NP_60	140225	141458	-494527	+	QUASIMODO2-I_DM	LTR/Gypsy	1	1253	-5360	123	1233
	6718	20.7	0.4	0.3	NP_60	440015	441243	-194742	+	Gypsy-34_DEl-I	LTR/Gypsy	1481	2710	-2014	305	1228
	3769	14.1	5.6	8.3	NP_60	591390	592599	-43386	+	Gypsy-8_DSim-I	LTR/Gypsy	3	1531	-4583	379	1209
	3631	8.8	6.3	4.2	NP_60	374221	375427	-260558	C	BATUMI_I	LTR/Pao	-6676	1287	1	261	1206
	8476	6.6	2	1.7	NP_60	530644	531813	-104172	+	Gypsy12_LTR	LTR/Gypsy	561	1734	-602	350	1169
	9756	3	0	0.1	NP_60	466561	467707	-168278	+	Gypsy-13_DSim-I	LTR/Gypsy	626	1771	-3673	312	1146
	9940	1.1	1	0.3	NP_60	354487	355623	-280362	+	Stalker2_I	LTR/Gypsy	1	1145	-6251	258	1136
	1324	32.1	4.7	4.2	NP_60	232312	233440	-402545	+	Gypsy-1_DSim-I	LTR/Gypsy	4680	5921	-1241	180	1128
	6396	11.3	0.7	1.6	NP_60	54496	55563	-580422	C	BEL-22_DTa-I	LTR/Pao	-2583	5380	4168	70	1067
	9234	1.9	0.3	0.2	NP_60	106918	107975	-528010	+	STALKER4_I	LTR/Gypsy	3349	4407	-2123	100	1057
	8555	4.8	0	0.6	NP_60	132583	133625	-502360	+	FW_DM	Non-LTR_retrotransposon/Jockey	1	1037	-3655	121	1042
	5930	9.9	2.3	0.4	NP_60	45556	46595	-589390	C	R1_DSi	Non-LTR_retrotransposon/R1	-3918	1516	378	63	1039
	2278	19.9	3.3	7.2	NP_60	540256	541293	-94692	+	Gypsy8_I	LTR/Gypsy	3407	5231	-213	351	1037
	2276	20.2	3.2	7	NP_60	546842	547878	-88107	+	Gypsy8_I	LTR/Gypsy	3407	5231	-213	351	1036
	2246	20.2	3.3	7	NP_60	560914	561950	-74035	+	Gypsy8_I	LTR/Gypsy	3407	5231	-213	363	1036
	2297	20.4	3.2	6.8	NP_60	542406	543441	-92544	+	Gypsy8_I	LTR/Gypsy	3407	5231	-213	351	1035
	5666	12.4	3.4	2.9	NP_60	339854	340887	-295098	+	DM412	LTR/Gypsy	1	1039	-5438	245	1033
	2160	20.6	4.3	6.3	NP_60	566588	567614	-68371	+	Gypsy8_I	LTR/Gypsy	3407	5231	-213	363	1026
	7034	6.5	6.5	0.8	NP_60	633728	634725	-1260	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-16	2825	1776	401	997
	8308	3.8	0.1	0.1	NP_60	563526	564508	-71477	C	R1_DSi	Non-LTR_retrotransposon/R1	-501	4933	3951	366	982
	7348	4.7	0	0.9	NP_60	117341	118319	-517666	+	ZAM_I	LTR/Gypsy	4198	5086	-2404	103	978
	7467	4.2	7	2	NP_60	367284	368249	-267736	C	BATUMI_I	LTR/Pao	-5665	2298	1284	261	965
	7346	2.2	7.5	1.3	NP_60	351688	352648	-283337	C	STALKER4_I	LTR/Gypsy	0	6530	5510	254	960
	7258	7.1	1.9	0	NP_60	47004	47951	-588034	C	R1_DSi	Non-LTR_retrotransposon/R1	-3162	2272	1307	66	947
	842	30.5	5.9	3.2	NP_60	254782	255723	-380262	+	Gypsy5_I	LTR/Gypsy	5137	6114	-1454	191	941
	2259	19.7	3.9	6.5	NP_60	503149	504083	-131902	+	Gypsy8_I	LTR/Gypsy	3407	5231	-213	327	934
	5101	2.4	0.7	0.1	NP_60	368250	369180	-266805	+	BEL_I	LTR/Pao	1	569	-4835	262	930
	5503	10.4	0.1	6	NP_60	476060	476989	-158996	+	Gypsy-13_DSim-I	LTR/Gypsy	2451	3328	-1019	312	929
	395	32.8	4.6	4.3	NP_60	300128	301051	-334934	+	Gypsy-5_DSim-I	LTR/Gypsy	5160	6504	-1064	216	923
	7822	2.1	3	0.2	NP_60	473161	474075	-161910	+	ACCORD2_I	LTR/Gypsy	112	1051	-6161	318	914
	7722	3	0	0	NP_60	388682	389594	-246391	+	Gypsy-4_DSim-I	LTR/Gypsy	893	1805	-4559	273	912
	7902	1.6	0.1	1.1	NP_60	628951	629848	-6137	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	4144	5020	0	400	897
	7914	1.3	0.1	1	NP_60	628055	628950	-7035	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	4144	5020	0	400	895
	7927	1.3	0.1	1	NP_60	635015	635910	-75	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	4144	5020	0	404	895
	6765	7.1	0.6	1	NP_60	520157	521044	-114941	+	DM412	LTR/Gypsy	1399	2282	-4195	342	887
	4157	6.8	2.2	2	NP_60	289108	289978	-346007	+	Gypsy-1_DSim-LTR	LTR/Gypsy	1	504	-18	204	870
	6733	4.5	4.1	0.3	NP_60	322440	323310	-312675	C	Gypsy-1_DSim-I	LTR/Gypsy	-3788	3234	2331	234	870
	1661	33.1	1.4	1.2	NP_60	263859	264719	-371266	+	Gypsy2-I_DM	LTR/Gypsy	808	2138	-4391	200	860
	4047	6.6	3.5	2.1	NP_60	244279	245138	-390847	+	Gypsy-1_DSim-LTR	LTR/Gypsy	1	502	-20	180	859
	4762	5.7	2	3.5	NP_60	155000	155856	-480129	+	QUASIMODO2-I_DM	LTR/Gypsy	6027	6612	-1	123	856
	5637	7.1	3.9	2.5	NP_60	114222	115067	-520918	+	ZAM_I	LTR/Gypsy	944	1761	-5729	103	845
	5603	9.3	0.6	1.5	NP_60	112569	113411	-522574	+	Gypsy-13_DSim-LTR	LTR/Gypsy	1	769	-2	103	842
	3206	9.7	0.7	6.7	NP_60	243438	244278	-391707	+	Gypsy8-I_Dya	LTR/Gypsy	1	1566	-8745	187	840
	3109	10.3	0.7	6.7	NP_60	288267	289107	-346878	+	Gypsy8-I_Dya	LTR/Gypsy	1	1566	-8745	211	840
	6756	4.5	0	0	NP_60	502062	502896	-133089	C	DM412	LTR/Gypsy	-2890	3587	2753	326	834
	6744	2.7	3	0	NP_60	379275	380088	-255897	+	Gypsy-13_DSim-I	LTR/Gypsy	3308	4145	-1299	268	813
	4965	11.8	0.3	1.9	NP_60	576431	577237	-58748	+	DM412	LTR/Gypsy	969	2102	-4367	374	806
	6966	2.6	1.7	0	NP_60	425812	426616	-209369	+	Gypsy-5_DSim-I	LTR/Gypsy	6344	7162	0	290	804
	5580	6.8	1.5	2	NP_60	494583	495365	-140620	C	MDG1_I	LTR/Gypsy	-5087	971	1	323	782
	5539	7.2	1.2	1.8	NP_60	579168	579950	-56035	+	Gypsy-8_DSim-I	LTR/Gypsy	1	973	-5085	378	782
	5394	8.2	8.3	0.2	NP_60	44232	44999	-590986	C	R1_DSi	Non-LTR_retrotransposon/R1	-109	5325	4496	61	767
	5367	5.1	5.2	0.5	NP_60	118291	119044	-516941	+	ZAM_I	LTR/Gypsy	5417	6205	-1285	103	753
	2546	15	2.9	4.6	NP_60	160227	160967	-475018	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-7072	825	305	129	740
	2546	15	2.9	4.6	NP_60	180321	181061	-454924	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-7072	825	305	144	740
	2984	15.3	5	6.8	NP_60	111842	112568	-523417	+	ZAM_I	LTR/Gypsy	3524	4143	-204	103	726
	4621	8.7	2	1.6	NP_60	375734	376457	-259528	+	Gypsy-13_DSim-LTR	LTR/Gypsy	1	769	-2	264	723
	364	31.5	4.6	4.9	NP_60	209159	209857	-426128	+	Gypsy-5_DSim-I	LTR/Gypsy	5847	6577	-585	166	698
	344	31.9	4.2	4.6	NP_60	332833	333531	-302454	+	Gypsy-5_DSim-I	LTR/Gypsy	5847	6577	-585	241	698
	1387	35.3	0.7	0.7	NP_60	435525	436221	-199764	+	NOMAD_I	LTR/Gypsy	7120	7816	-785	297	696
	5988	2.3	0	0.1	NP_60	545582	546278	-89707	C	R1_DSi	Non-LTR_retrotransposon/R1	-1301	4133	3438	356	696
	1703	32.2	1.2	1	NP_60	218314	219000	-416985	+	Gypsy2-I_DM	LTR/Gypsy	808	1495	-5050	174	686
	3104	12.6	1.4	2.7	NP_60	334414	335099	-300886	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-2	769	257	242	685
	3039	13	2.2	3.1	NP_60	256269	256952	-379033	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-2	769	202	193	683
	2058	20.3	2.4	3.5	NP_60	441361	442043	-193942	+	Gypsy-34_DEl-I	LTR/Gypsy	3739	4408	-316	305	682
	1557	32.8	2.5	1	NP_60	342859	343536	-292449	+	Gypsy2-I_DM	LTR/Gypsy	808	1495	-5050	250	677
	502	29.9	3.1	5.6	NP_60	308309	308968	-327017	+	Gypsy-26_DBp-I	LTR/Gypsy	2219	2379	-1783	220	659
	4575	6.1	5.1	1.5	NP_60	316893	317550	-318435	+	Gypsy-1_DSim-I	LTR/Gypsy	3230	3911	-3111	231	657
	3733	11	3.7	5.8	NP_60	51093	51740	-584245	C	R1_DSi	Non-LTR_retrotransposon/R1	-4791	643	9	68	647
	3287	14.5	1.9	3.3	NP_60	437812	438452	-197533	+	DM412	LTR/Gypsy	1	632	-5845	303	640
	3446	11.4	6	5.8	NP_60	47959	48589	-587396	C	R1_DSi	Non-LTR_retrotransposon/R1	-4794	640	9	66	630
	3366	13.4	6.2	1.1	NP_60	216145	216768	-419217	+	DM412	LTR/Gypsy	385	1040	-5437	170	623
	3372	13.4	6.3	0.9	NP_60	261889	262511	-373474	+	DM412	LTR/Gypsy	385	1040	-5437	196	622
	645	32.8	4.8	3.5	NP_60	276673	277291	-358694	+	Gypsy-1_DSim-I	LTR/Gypsy	4681	5307	-910	204	618
	4753	5.4	0	1.1	NP_60	119438	120054	-515931	+	ZAM_I	LTR/Gypsy	6634	7243	-247	103	616
	478	28.6	6.7	6.4	NP_60	343722	344336	-291649	+	Gypsy-3_DSe-I	LTR/Gypsy	1868	2871	-3658	243	614
	3440	13	10	0.1	NP_60	184546	185145	-450840	+	Gypsy-4_DBi-I	LTR/Gypsy	2690	3348	-2697	153	599
	2903	11.9	9.6	2.6	NP_60	378678	379277	-256708	+	Gypsy8_I	LTR/Gypsy	509	1274	-5256	267	599
	4632	8.2	0.2	0	NP_60	50492	51089	-584896	C	R1_DSi	Non-LTR_retrotransposon/R1	-3742	1692	1094	68	597
	4889	1	0.2	1.4	NP_60	60847	61436	-574549	C	Gypsy-8_DSe-I	LTR/Gypsy	-5146	1335	753	71	589
	1554	29.1	1.7	1.9	NP_60	309092	309670	-326315	+	Gypsy-26_DBp-I	LTR/Gypsy	2355	2932	-857	220	578
